"A" "B" "P" "BT"
"1" 0.546 0.569 0.589 0.572302726035826
"2" 0.072 0.081 0.06 0.0785772834108905
"3" 0.19 0.175 0.173 0.203642082907843
"4" 0.862 0.861 0.87 0.796368517199952
"5" 0.309 0.288 0.316 0.336594273932895
"6" 0.27 0.265 0.265 0.302561672300018
"7" 0.331 0.295 0.338 0.352924718649027
"8" 0.298 0.355 0.327 0.350966050997691
"9" 0.513 0.507 0.512 0.516883626051927
"10" 0.943 0.961 0.965 0.869914921074056
"11" 0.717 0.689 0.741 0.672755395804512
"12" 0.478 0.502 0.479 0.502562132811409
"13" 0.942 0.937 0.969 0.88227261552079
"14" 0 0.002 0.001 0.00030288261329614
"15" 0.727 0.73 0.745 0.70865377473212
"16" 0.741 0.721 0.738 0.705975278608904
"17" 0.919 0.936 0.956 0.841995810861356
"18" 0.35 0.343 0.353 0.396473618995072
"19" 0.154 0.159 0.144 0.177526365892119
"20" 0.688 0.697 0.715 0.665657728048954
"21" 0.726 0.74 0.748 0.693446359437005
"22" 0.726 0.697 0.744 0.676101880810841
"23" 0.077 0.069 0.077 0.079727998411151
"24" 0.618 0.626 0.623 0.608827246116804
"25" 0.152 0.134 0.173 0.178454275074143
"26" 0.759 0.767 0.806 0.705921320376795
"27" 0.216 0.196 0.19 0.229221797951029
"28" 0.781 0.79 0.787 0.741714405631053
"29" 0.878 0.877 0.876 0.784167129911449
"30" 0.243 0.248 0.231 0.266172448705428
"31" 0.201 0.195 0.171 0.220908505091863
"32" 0.34 0.337 0.384 0.382765231015513
"33" 0.096 0.075 0.094 0.0990463167728466
"34" 0.21 0.234 0.206 0.251043980908747
"35" 0.508 0.464 0.494 0.506159776495265
"36" 0.987 0.989 0.997 0.931064919462382
"37" 0.157 0.171 0.151 0.18589996581626
"38" 0.145 0.145 0.149 0.162948839891072
"39" 0.148 0.159 0.167 0.184233255789053
"40" 0.394 0.42 0.425 0.436352548180476
"41" 0.239 0.243 0.242 0.266889147880738
"42" 0.258 0.266 0.263 0.300266186969534
"43" 0.188 0.197 0.194 0.197449981035879
"44" 0.317 0.314 0.305 0.347795567828154
"45" 0.06 0.055 0.046 0.0591637045181672
"46" 0.885 0.862 0.903 0.819831842326287
"47" 0.991 0.994 0.995 0.938704045596294
"48" 0.136 0.158 0.134 0.166570327456415
"49" 0.864 0.85 0.875 0.812337944761637
"50" 0.64 0.652 0.678 0.636161419449872
"51" 0.087 0.094 0.098 0.103265976610976
"52" 0.463 0.47 0.482 0.499065738576911
"53" 0.055 0.051 0.06 0.0519665588343305
"54" 0.094 0.1 0.096 0.108721553594243
"55" 0.494 0.442 0.458 0.473893792633849
"56" 0.579 0.614 0.613 0.595467608554124
"57" 0.089 0.059 0.067 0.0712512657655966
"58" 0.722 0.711 0.714 0.680202473182912
"59" 0.772 0.78 0.813 0.733829976286213
"60" 0.327 0.358 0.357 0.395245471353033
"61" 0.221 0.228 0.243 0.254349221663083
"62" 0.468 0.468 0.484 0.494537979598565
"63" 0.753 0.776 0.797 0.710540353996739
"64" 0.385 0.396 0.396 0.417738375280588
"65" 0.562 0.571 0.585 0.557398354415613
"66" 0.458 0.438 0.418 0.462892378653211
"67" 0.342 0.343 0.334 0.383127326078099
"68" 0.454 0.454 0.447 0.471631951814329
"69" 0.929 0.909 0.926 0.848217842082049
"70" 0.026 0.017 0.013 0.0129998741603888
"71" 0.54 0.52 0.572 0.525464088561544
"72" 0.599 0.618 0.611 0.589156326210419
"73" 0.248 0.254 0.266 0.299055614911243
"74" 0.595 0.589 0.583 0.578777163826849
"75" 0.943 0.934 0.952 0.85362651256366
"76" 0.119 0.131 0.115 0.122393995497178
"77" 0.036 0.052 0.043 0.0343125228749133
"78" 0.772 0.749 0.773 0.727934067658581
"79" 0.977 0.967 0.979 0.869398030524125
"80" 0.869 0.864 0.88 0.791606361215424
"81" 0.1 0.112 0.114 0.127393924655822
"82" 0.298 0.241 0.264 0.296315518661298
"83" 0.432 0.438 0.415 0.446781509018772
"84" 0.651 0.659 0.651 0.630188697609752
"85" 0.2 0.199 0.204 0.229376095842415
"86" 0.421 0.39 0.414 0.426485613875042
"87" 0.399 0.421 0.405 0.421880632364265
"88" 0.165 0.183 0.182 0.206788044282924
"89" 0.631 0.626 0.652 0.603929176978967
"90" 0.017 0.019 0.014 0.0145820426898303
"91" 0.525 0.532 0.565 0.54461071868386
"92" 0.77 0.8 0.804 0.73251866636429
"93" 0.435 0.451 0.473 0.473056981440147
"94" 0.994 0.993 0.998 0.933325334667873
"95" 0.697 0.688 0.686 0.684337335358336
"96" 0.324 0.321 0.306 0.332868554484747
"97" 0.523 0.51 0.502 0.523814404057515
"98" 0.75 0.757 0.739 0.696952330057286
"99" 0.811 0.804 0.851 0.756523360095037
"100" 0.477 0.447 0.479 0.486598997311877
"101" 0.375 0.386 0.391 0.414374006219103
"102" 0.435 0.439 0.402 0.454079648957205
"103" 0.502 0.564 0.566 0.554916102115501
"104" 0.545 0.535 0.581 0.552341834975322
"105" 0.367 0.376 0.385 0.403406946686062
"106" 0.006 0.005 0.006 0.00231875990715158
"107" 0.546 0.555 0.572 0.558603134743336
"108" 0.23 0.216 0.228 0.264765440621805
"109" 0.612 0.626 0.64 0.608320707065346
"110" 0.816 0.805 0.827 0.758885149905555
"111" 0.739 0.756 0.749 0.70449754688844
"112" 0.203 0.262 0.236 0.250007079419696
"113" 0.459 0.429 0.48 0.483361308977946
"114" 0.923 0.931 0.933 0.81893140209528
"115" 0.767 0.763 0.769 0.696809475655541
"116" 0.51 0.496 0.485 0.510009265073702
"117" 0.896 0.903 0.907 0.810978150613326
"118" 0.03 0.031 0.045 0.0239581826180254
"119" 0.18 0.197 0.208 0.231431055940664
"120" 0.147 0.153 0.131 0.154305890767911
"121" 0.084 0.091 0.09 0.0995648981852394
"122" 0.321 0.292 0.302 0.331382080797013
"123" 0.357 0.318 0.367 0.381362400406254
"124" 0.278 0.292 0.313 0.311287773365416
"125" 0.424 0.413 0.426 0.457609158402256
"126" 0.826 0.811 0.852 0.759434730358082
"127" 0.803 0.808 0.839 0.76071466226264
"128" 0.66 0.678 0.695 0.644097839939634
"129" 0.668 0.673 0.708 0.653612167553377
"130" 0.797 0.826 0.825 0.746543106134919
"131" 0.384 0.343 0.36 0.381669888241593
"132" 0.357 0.314 0.387 0.377673158957465
"133" 0.943 0.94 0.945 0.865204043207773
"134" 0.805 0.811 0.825 0.757826626202837
"135" 0.037 0.021 0.035 0.0214628065357934
"136" 0.116 0.106 0.113 0.119409221459718
"137" 0.481 0.509 0.513 0.517484995888278
"138" 0.507 0.5 0.502 0.50378136451173
"139" 0.335 0.305 0.344 0.369107792507026
"140" 0.559 0.512 0.544 0.53888143063595
"141" 0.207 0.214 0.233 0.259034127887883
"142" 0.644 0.66 0.652 0.623640091878095
"143" 0.109 0.099 0.097 0.104735947241992
"144" 0.35 0.347 0.393 0.384616024724769
"145" 0.476 0.472 0.462 0.484360651379037
"146" 0.903 0.906 0.912 0.832373770429248
"147" 0.778 0.76 0.799 0.70580549169915
"148" 0.79 0.818 0.811 0.737015858112605
"149" 0.042 0.038 0.055 0.0407490035924231
"150" 0.412 0.416 0.452 0.456820847815026
"151" 0.041 0.035 0.03 0.0320252165860644
"152" 0.316 0.329 0.301 0.359494993048895
"153" 0.122 0.116 0.117 0.127972601142847
"154" 0.811 0.828 0.83 0.762377311653486
"155" 0.968 0.974 0.972 0.906577366507013
"156" 0.896 0.893 0.906 0.820447172016769
"157" 0.585 0.58 0.6 0.573196683446732
"158" 0.19 0.208 0.169 0.206978256545822
"159" 0.743 0.711 0.734 0.694821152048884
"160" 0.332 0.305 0.373 0.383323046198085
"161" 0 0 0 2.41123840275526e-05
"162" 0.013 0.007 0.013 0.00449022428033097
"163" 0.594 0.59 0.612 0.5944616609705
"164" 0.889 0.873 0.91 0.828119730703956
"165" 0.967 0.974 0.987 0.903329499015549
"166" 0.645 0.647 0.665 0.631394863310978
"167" 0.097 0.105 0.102 0.102224644917305
"168" 0.267 0.301 0.319 0.341482809491888
"169" 0.567 0.603 0.606 0.575533143168191
"170" 0.024 0.028 0.031 0.0199179804671693
"171" 0.521 0.553 0.554 0.543620519161117
"172" 0.679 0.675 0.715 0.676505735364201
"173" 0.9 0.917 0.926 0.83223108563014
"174" 0.922 0.934 0.95 0.866900892667912
"175" 0.629 0.627 0.635 0.607221357963487
"176" 0.784 0.785 0.784 0.727799135984569
"177" 0.626 0.609 0.654 0.601058055157102
"178" 0.7 0.723 0.749 0.702152776471477
"179" 0.411 0.427 0.431 0.456710217973737
"180" 0.436 0.419 0.411 0.44563243997126
"181" 0.133 0.114 0.138 0.127958919623204
"182" 0.987 0.987 0.991 0.934532847095972
"183" 0.3 0.363 0.332 0.35869953979116
"184" 0.829 0.855 0.876 0.786917223633835
"185" 0.517 0.533 0.552 0.5439811362104
"186" 0.568 0.54 0.584 0.557891800929818
"187" 0.406 0.379 0.414 0.431562132186556
"188" 0.818 0.837 0.839 0.7596274831309
"189" 0.911 0.902 0.923 0.848615395689562
"190" 0.564 0.546 0.587 0.572293479890501
"191" 0.586 0.597 0.626 0.591005377360808
"192" 0.989 0.991 0.993 0.939721231491835
"193" 0.87 0.847 0.886 0.77362780716951
"194" 0.24 0.237 0.23 0.267021990091809
"195" 0.168 0.171 0.182 0.199754208133269
"196" 0.463 0.448 0.452 0.471095657447511
"197" 0.054 0.045 0.059 0.0513912163374849
"198" 0.134 0.163 0.169 0.180915900131789
"199" 0.475 0.495 0.508 0.514834649117797
"200" 0.303 0.309 0.316 0.345832174621433
"201" 0.249 0.232 0.257 0.275932238015858
"202" 0.257 0.245 0.231 0.287877859347614
"203" 0.541 0.538 0.542 0.548174408754249
"204" 0.42 0.349 0.416 0.42624907988909
"205" 0.83 0.821 0.829 0.760235650235216
"206" 0.607 0.623 0.62 0.607500277931985
"207" 0.785 0.785 0.825 0.758717675567946
"208" 0.568 0.573 0.555 0.573460486315153
"209" 0.396 0.407 0.397 0.432752357203365
"210" 0.554 0.558 0.599 0.554176072478136
"211" 0.073 0.078 0.072 0.0777090228347792
"212" 0.139 0.161 0.144 0.15581177051776
"213" 0.09 0.066 0.072 0.0722016801461607
"214" 0.786 0.788 0.789 0.74115635849002
"215" 0.601 0.611 0.609 0.597532504006764
"216" 0.292 0.328 0.326 0.34981297588154
"217" 0.539 0.56 0.533 0.54256392978783
"218" 0.123 0.158 0.134 0.155400816834092
"219" 0.712 0.724 0.748 0.671786414424617
"220" 0.87 0.886 0.911 0.820388084941738
"221" 0.349 0.34 0.391 0.36900997536073
"222" 0.437 0.402 0.448 0.437347378779122
"223" 0.145 0.141 0.15 0.167067944866917
"224" 0.145 0.144 0.163 0.177166997952066
"225" 0.343 0.336 0.336 0.381756232947738
"226" 0.08 0.107 0.107 0.101558709792131
"227" 0.469 0.442 0.459 0.460345579399298
"228" 0.033 0.041 0.027 0.0283438010305271
"229" 0.359 0.321 0.351 0.377956147475007
"230" 0.98 0.972 0.984 0.904975823810907
"231" 0.668 0.681 0.687 0.64525832310985
"232" 0.284 0.274 0.266 0.312246051405333
"233" 0.775 0.768 0.766 0.705890494123388
"234" 0.947 0.939 0.941 0.83061025170002
"235" 0.549 0.54 0.517 0.538527720018301
"236" 0.42 0.406 0.427 0.438915903449577
"237" 0.976 0.984 0.988 0.919166424418249
"238" 0.366 0.378 0.413 0.418828213070035
"239" 0.49 0.475 0.514 0.509605842144638
"240" 0.494 0.51 0.543 0.529408573859625
"241" 0.804 0.791 0.81 0.739538793266843
"242" 0.052 0.038 0.049 0.041438866278952
"243" 0.257 0.281 0.28 0.302982885812222
"244" 0.958 0.943 0.951 0.87844613530432
"245" 0.387 0.444 0.426 0.451281031237025
"246" 0.493 0.491 0.506 0.5163171285484
"247" 0.328 0.345 0.355 0.379012744616928
"248" 0.358 0.376 0.339 0.386541971272284
"249" 0.559 0.55 0.577 0.569131700592165
"250" 0.333 0.312 0.338 0.36162863747247
