"A" "B" "P" "BT"
"1" 0.255 0.245 0.254 0.29241895889667
"2" 0.727 0.702 0.737 0.694543741020145
"3" 0.484 0.484 0.495 0.502503022036729
"4" 0.618 0.632 0.599 0.60172807638354
"5" 0.431 0.414 0.428 0.44039053586469
"6" 0.366 0.36 0.39 0.394952666469117
"7" 0.182 0.169 0.192 0.20415738701737
"8" 0.342 0.344 0.342 0.360856433970354
"9" 0.712 0.704 0.722 0.676711921165105
"10" 0.151 0.158 0.152 0.171823262032228
"11" 0.331 0.338 0.328 0.358591483564741
"12" 0.654 0.671 0.709 0.665087512298387
"13" 0.918 0.937 0.936 0.87907082826817
"14" 0.123 0.13 0.132 0.144302962959212
"15" 0.366 0.372 0.379 0.393770850415356
"16" 0.13 0.133 0.143 0.137001602286354
"17" 0.951 0.948 0.966 0.87280863767586
"18" 0.397 0.407 0.442 0.443245853163176
"19" 0.01 0.007 0.01 0.0047417814963987
"20" 0.659 0.697 0.671 0.655601149853579
"21" 0.151 0.163 0.153 0.171938293357525
"22" 0.342 0.302 0.34 0.358444637801248
"23" 0.517 0.552 0.559 0.545974185429583
"24" 0.139 0.143 0.134 0.148872922372136
"25" 0.106 0.108 0.102 0.111701177942926
"26" 0.575 0.562 0.595 0.572636767143217
"27" 0.152 0.135 0.131 0.168658459170549
"28" 0.393 0.392 0.371 0.414097222742927
"29" 0.823 0.815 0.81 0.771786141093107
"30" 0.093 0.093 0.103 0.111566298487743
"31" 0.182 0.212 0.209 0.231767104514709
"32" 0.38 0.367 0.345 0.419132071648574
"33" 0.736 0.732 0.763 0.692949533908948
"34" 0.88 0.871 0.914 0.827310221534563
"35" 0.027 0.019 0.026 0.021501523425558
"36" 0.443 0.431 0.45 0.472336647371952
"37" 0.909 0.909 0.925 0.840416187646095
"38" 0.252 0.253 0.262 0.283729930664764
"39" 0.454 0.413 0.448 0.447265967376358
"40" 0.814 0.853 0.854 0.792093680332965
"41" 0.721 0.726 0.757 0.700600998604079
"42" 0.428 0.4 0.421 0.444874319965798
"43" 0.953 0.958 0.97 0.890010704299085
"44" 0.17 0.159 0.168 0.184225245484681
"45" 0.9 0.896 0.926 0.814835748842404
"46" 0.42 0.398 0.42 0.445329591699168
"47" 0.422 0.399 0.412 0.42746926140558
"48" 0.295 0.289 0.274 0.297139737056386
"49" 0.907 0.929 0.931 0.866604840814737
"50" 0.535 0.55 0.572 0.547211973751109
"51" 0.124 0.143 0.142 0.162409082546643
"52" 0.444 0.454 0.464 0.478791675672803
"53" 0.871 0.878 0.866 0.790534083891335
"54" 0.392 0.422 0.404 0.437951438567872
"55" 0.738 0.732 0.762 0.717088441710119
"56" 0.536 0.494 0.5 0.521676001331743
"57" 0.65 0.635 0.675 0.624472944209057
"58" 0.31 0.336 0.333 0.367866578508329
"59" 0.717 0.72 0.741 0.700355735195544
"60" 0.738 0.769 0.761 0.724487753828282
"61" 0.371 0.346 0.365 0.384554484816319
"62" 0.491 0.489 0.516 0.512869360496542
"63" 0.586 0.56 0.578 0.578589294645204
"64" 0.572 0.6 0.609 0.597372004505584
"65" 0.673 0.657 0.702 0.671105474380283
"66" 0.852 0.861 0.868 0.814641288685309
"67" 0.057 0.059 0.065 0.0658111610079484
"68" 0.576 0.555 0.595 0.574208757579544
"69" 0.724 0.751 0.759 0.705389565892555
"70" 0.672 0.713 0.702 0.681477966857118
"71" 0.676 0.696 0.684 0.667402553014844
"72" 0.4 0.419 0.419 0.435870668097134
"73" 0.42 0.43 0.455 0.456760702854227
"74" 0.643 0.629 0.657 0.629680588054426
"75" 0.811 0.785 0.864 0.792010430456836
"76" 0.187 0.235 0.209 0.213195497580672
"77" 0.162 0.156 0.162 0.17228415866833
"78" 0.684 0.711 0.741 0.688238610085091
"79" 0.697 0.695 0.717 0.673521657714493
"80" 0.071 0.075 0.078 0.0815113978225971
"81" 0.355 0.371 0.395 0.390969093061278
"82" 0.051 0.046 0.036 0.0503186099807367
"83" 0.803 0.821 0.848 0.779218538416636
"84" 0.526 0.519 0.525 0.539148397418516
"85" 0.771 0.796 0.818 0.748062186409576
"86" 0.258 0.257 0.273 0.308079272497469
"87" 0.446 0.436 0.467 0.452637325831367
"88" 0.134 0.124 0.117 0.141904428120228
"89" 0.854 0.851 0.89 0.812961276086747
"90" 0.518 0.544 0.537 0.541716668539858
"91" 0.494 0.499 0.512 0.517043500524324
"92" 0.127 0.136 0.173 0.165620802199581
"93" 0.46 0.456 0.459 0.485446015200526
"94" 0.074 0.064 0.074 0.0749347344688189
"95" 0.296 0.295 0.298 0.329919606564229
"96" 0.119 0.145 0.15 0.153633169218055
"97" 0.94 0.948 0.965 0.856713148117036
"98" 0.701 0.724 0.725 0.692249399097972
"99" 0.254 0.259 0.288 0.296444310974739
"100" 0.229 0.229 0.225 0.257985149966409
"101" 0.615 0.589 0.59 0.616564205772679
"102" 0.983 0.987 0.993 0.923417814723143
"103" 0.036 0.05 0.044 0.0410448352242134
"104" 0.021 0.019 0.02 0.0148075614737195
"105" 0.415 0.438 0.418 0.442594426480466
"106" 0.084 0.1 0.085 0.0950431239981961
"107" 0.368 0.348 0.387 0.399534043557635
"108" 0.226 0.222 0.241 0.277227942555004
"109" 0.975 0.988 0.987 0.916759357299579
"110" 0.808 0.807 0.844 0.778816850084471
"111" 0.789 0.767 0.789 0.74066694871117
"112" 0.72 0.751 0.737 0.69765446364052
"113" 0.758 0.754 0.793 0.714469588581155
"114" 0.347 0.336 0.329 0.368844558770145
"115" 0.652 0.626 0.653 0.633249773951621
"116" 0.296 0.307 0.309 0.337482484194615
"117" 0.906 0.896 0.902 0.853753011261964
"118" 0.493 0.497 0.517 0.50333214419014
"119" 0.365 0.381 0.402 0.415928079279227
"120" 0.224 0.206 0.229 0.251961667865915
"121" 0.016 0.02 0.023 0.0151578526847914
"122" 0.871 0.871 0.902 0.816221330755477
"123" 0.463 0.482 0.464 0.46501558600158
"124" 0.639 0.658 0.661 0.645039908230082
"125" 0.197 0.208 0.207 0.217652705235866
"126" 0.403 0.39 0.389 0.432225921407034
"127" 0.52 0.505 0.533 0.539596081241342
"128" 0.946 0.955 0.961 0.887953598817568
"129" 0.12 0.109 0.131 0.135551660516898
"130" 0.308 0.298 0.273 0.317607803023617
"131" 0.246 0.222 0.243 0.254435393950126
"132" 0.076 0.064 0.064 0.0692232993958685
"133" 0.951 0.966 0.973 0.913304162856711
"134" 0.708 0.716 0.747 0.685127220850713
"135" 0.59 0.597 0.592 0.573566468341454
"136" 0.143 0.157 0.141 0.166416602331091
"137" 0 0 0 6.01037924985448e-07
"138" 0.383 0.412 0.435 0.449885545876287
"139" 0.18 0.177 0.169 0.200772487426406
"140" 0.114 0.104 0.115 0.116944777777158
"141" 0.93 0.919 0.931 0.878384561191146
"142" 0.328 0.332 0.312 0.367187380067021
"143" 0.366 0.349 0.323 0.355489719432465
"144" 0.539 0.547 0.567 0.551874515831044
"145" 0.294 0.272 0.284 0.314383131487275
"146" 0.005 0.011 0.016 0.0100335725023155
"147" 0.235 0.218 0.211 0.240887596444196
"148" 0.917 0.918 0.933 0.874102491615226
"149" 0.128 0.142 0.15 0.162500846664505
"150" 0.56 0.526 0.527 0.529405835342955
"151" 0.462 0.453 0.478 0.489531015275504
"152" 0.992 0.992 0.993 0.949192016645887
"153" 0.364 0.343 0.351 0.392678348303006
"154" 0.415 0.45 0.442 0.449634775105913
"155" 0.455 0.444 0.458 0.470376662715803
"156" 0.593 0.597 0.581 0.584656193340925
"157" 0.491 0.496 0.511 0.519243257741722
"158" 0.29 0.267 0.281 0.306592372620286
"159" 0.757 0.772 0.79 0.723862894862468
"160" 0.81 0.82 0.836 0.776018150652756
"161" 0.193 0.201 0.205 0.216269795902548
"162" 0.694 0.709 0.725 0.684009748939263
"163" 0.638 0.633 0.63 0.63010044202451
"164" 0.834 0.825 0.859 0.767921420384395
"165" 0.359 0.401 0.413 0.429421477669966
"166" 0.853 0.879 0.887 0.80695738409134
"167" 0.623 0.645 0.695 0.646144767502051
"168" 0.657 0.667 0.615 0.628620815167071
"169" 0.676 0.68 0.634 0.664848595592716
"170" 0.894 0.901 0.922 0.833902371850092
"171" 0.615 0.63 0.645 0.631011558807648
"172" 0.571 0.581 0.59 0.579356284264131
"173" 0.523 0.548 0.548 0.545025766003551
"174" 0.52 0.472 0.538 0.530084152661167
"175" 0.817 0.822 0.837 0.763183832060939
"176" 0.244 0.236 0.235 0.262242411983362
"177" 0.145 0.164 0.146 0.155256557626046
"178" 0.412 0.434 0.438 0.458351904075667
"179" 0.692 0.692 0.705 0.667274904689947
"180" 0.35 0.36 0.364 0.384163449344777
"181" 0.563 0.516 0.561 0.542352144061027
"182" 0.861 0.886 0.902 0.82952938170536
"183" 0.011 0.01 0.013 0.00898419806532835
"184" 0.51 0.551 0.567 0.54399756361044
"185" 0.455 0.448 0.469 0.494537674568683
"186" 0.161 0.169 0.151 0.181935854180745
"187" 0.764 0.739 0.821 0.744062471457287
"188" 0.079 0.082 0.085 0.0817355453943266
"189" 0.268 0.284 0.288 0.315761542968718
"190" 0.571 0.566 0.557 0.564761427596477
"191" 0.079 0.086 0.086 0.0885203557431804
"192" 0.851 0.851 0.864 0.779169107711103
"193" 0.996 0.991 0.997 0.952993918446473
"194" 0.514 0.517 0.57 0.532249941190202
"195" 0.529 0.514 0.56 0.552957246048895
"196" 0.849 0.864 0.892 0.81820222615705
"197" 0.339 0.372 0.387 0.387298568658483
"198" 0.736 0.734 0.743 0.714985780868294
"199" 0.264 0.262 0.265 0.299503977034513
"200" 0.215 0.216 0.216 0.242970796745105
"201" 0.986 0.985 0.991 0.930322585266589
"202" 0.937 0.925 0.958 0.873455344228251
"203" 0.101 0.088 0.082 0.0919110953080565
"204" 0.767 0.827 0.832 0.762649063307891
"205" 0.57 0.543 0.581 0.569668113129525
"206" 0.467 0.471 0.474 0.484414318674237
"207" 0.992 0.996 0.995 0.939920707620614
