"A" "B" "P" "BT"
"1" 0 0 0 8.86230122620901e-09
"2" 0 0 0 0.000181936018017748
"3" 0.001 0 0 1.84472269604274e-06
"4" 0 0 0 5.36743041346099e-07
"5" 0 0 0 3.88266085948885e-11
"6" 0 0 0 3.19842970553097e-06
"7" 0 0 0 6.77586320385615e-10
"8" 0 0 0 4.70243993633268e-07
"9" 0 0 0 3.48869798654228e-05
"10" 0 0 0 4.16854328832983e-11
"11" 0 0 0 2.1888823642513e-08
"12" 0.001 0 0 6.01340472363709e-05
"13" 0 0 0 3.77891718895684e-05
"14" 0 0.001 0 3.38140662418107e-05
"15" 0 0.001 0 0.000100551952537331
"16" 0 0 0 5.49381341530264e-08
"17" 0.004 0.004 0.001 0.00359492988238785
"18" 0 0 0 9.17605880168537e-10
"19" 0 0.001 0 3.1106150252258e-06
"20" 0 0 0 1.73944366688161e-08
"21" 0 0 0 2.058987155662e-06
"22" 0 0 0 2.19088661802536e-05
"23" 0 0 0 1.00799194657775e-06
"24" 0.002 0.001 0 0.0002804759994538
"25" 0 0 0 3.04614084243315e-05
"26" 0 0 0 1.31142228076975e-07
"27" 0 0 0 9.48503660058719e-08
"28" 0.001 0 0 3.53187434454227e-05
"29" 0 0 0 1.24972996662365e-06
"30" 0 0 0 1.59214538220098e-07
"31" 0 0.001 0 0.000231507995884339
"32" 0 0 0 1.32366861443911e-05
"33" 0 0.001 0 7.33300787705282e-05
"34" 0 0 0 4.81245043815193e-11
"35" 0 0 0 1.85235937699701e-10
"36" 0 0 0 5.16470130028646e-05
"37" 0 0 0 3.38383592697333e-05
"38" 0 0 0 5.23439975919082e-07
"39" 0 0 0 5.07913114899949e-08
"40" 0 0 0 6.15156539285344e-06
"41" 0 0 0 1.36040342324506e-08
"42" 0 0 0 3.62442782447792e-05
"43" 0 0 0 4.77395900588817e-11
"44" 0.001 0 0.002 0.00107721629766944
"45" 0 0 0 2.46378439872075e-09
"46" 0 0 0 2.05551624277156e-06
"47" 0.001 0 0 1.28860155813593e-05
"48" 0.002 0.001 0.002 0.000568264907234495
"49" 0 0.001 0 5.30906896015759e-05
"50" 0 0 0 5.38078470668779e-11
"51" 0.001 0 0 3.68424102057396e-05
"52" 0 0 0 6.87162882151426e-09
"53" 0 0 0 2.77706399953725e-05
"54" 0.001 0 0 4.13770348755005e-05
"55" 0 0 0 1.45531380724151e-07
"56" 0 0.001 0 0.000257687037619747
"57" 0 0 0 1.24870114248665e-11
"58" 0.003 0.001 0 0.000359667607126912
"59" 0 0 0.001 1.65987288078817e-05
"60" 0.001 0 0 2.59757987607356e-05
"61" 0 0 0 4.52092635130352e-05
"62" 0 0 0 2.74680041933983e-07
"63" 0 0 0 4.25252017514088e-05
"64" 0 0 0 8.94275021812163e-08
"65" 0 0 0 2.46871863682774e-05
"66" 0 0 0 1.12299058940835e-12
"67" 0 0.002 0 4.35635663951217e-05
"68" 0 0 0 1.11022302462516e-14
"69" 0 0.001 0 6.39098400612159e-06
"70" 0 0 0 3.54263313129266e-08
"71" 0 0 0 2.91938658736335e-06
"72" 0 0 0 2.04647275015013e-07
"73" 0 0 0 2.84507400083456e-06
"74" 0 0 0 2.2060516580602e-05
"75" 0 0.001 0 6.68306938678143e-08
"76" 0 0 0 1.08919735219981e-06
"77" 0 0 0 8.15289674660491e-08
"78" 0 0.001 0 7.57790856422691e-05
"79" 0 0 0 5.39542073607624e-06
"80" 0 0 0 3.02742275692935e-11
"81" 0.001 0 0 0.000108957494693418
"82" 0 0.003 0 0.000193388131997985
"83" 0 0 0 2.55896681355949e-06
"84" 0 0 0 2.43544065470225e-07
"85" 0 0 0 1.10857900015304e-06
"86" 0 0 0 5.44673254265771e-06
"87" 0 0 0 4.74406007336947e-05
"88" 0 0 0 3.42456427548932e-07
"89" 0.005 0.003 0.002 0.00253470718530657
"90" 0 0 0 4.29794696088504e-06
"91" 0 0.001 0 0.000296867608915896
"92" 0 0 0 4.1499639736875e-06
"93" 0 0 0 0.000102594958150792
"94" 0 0 0 8.01787429427492e-06
"95" 0 0 0 0.000102858727932031
"96" 0 0 0 9.44838934591186e-06
"97" 0.001 0 0.001 0.000991394953478442
"98" 0 0 0 1.29917139268798e-08
"99" 0 0 0 6.08443296801209e-06
"100" 0 0 0 1.19651125674025e-08
"101" 0 0 0 1.34793977997205e-05
"102" 0 0 0 1.52953175236448e-07
"103" 0 0 0 3.92652848013597e-08
"104" 0 0 0 3.1746271107469e-06
"105" 0 0 0 1.93139976800705e-06
"106" 0 0 0 3.75066644409117e-12
"107" 0.007 0 0 0.000173540821892693
"108" 0 0 0 2.04188329688826e-06
"109" 0 0.001 0 5.99556064110329e-05
"110" 0.001 0.001 0 0.000391877127466689
"111" 0.004 0.001 0 0.0011037102879986
"112" 0 0 0 6.4608011862699e-07
"113" 0 0 0 3.40380333383461e-05
"114" 0 0 0 1.6792012225153e-11
"115" 0 0 0 2.50526128309225e-06
"116" 0 0 0 1.06208752903569e-09
"117" 0 0 0 2.75145567483204e-05
"118" 0 0 0 1.1425428410039e-06
"119" 0.002 0 0 0.000275235459116119
"120" 0 0 0 4.58461374341912e-06
"121" 0 0 0 3.71219561756675e-08
"122" 0 0 0 3.55033451027165e-06
"123" 0 0 0 4.77706338819495e-07
"124" 0 0 0 5.49296822538459e-06
"125" 0 0 0 5.85481156001322e-06
"126" 0 0 0 8.48499613237408e-07
"127" 0 0 0 2.18790496830934e-09
"128" 0 0 0 2.77295697515001e-09
"129" 0.001 0 0 2.14399038597213e-05
"130" 0.001 0.001 0 7.94205766803113e-05
"131" 0 0 0 2.91190405121711e-11
"132" 0 0 0 2.39636234300455e-06
"133" 0.011 0.007 0.002 0.00313452514102153
"134" 0 0 0 1.88501446674039e-08
"135" 0 0 0 2.81510547095465e-08
"136" 0 0 0 7.06833423702591e-06
"137" 0 0 0 0.000103105977688811
"138" 0 0 0 3.7290148779956e-07
"139" 0 0 0 1.12928966178316e-09
