"A" "B" "P" "BT"
"1" 0.001 0.001 0.001 0.000408772532195623
"2" 0.009 0.007 0.004 0.00589826465364185
"3" 0.006 0.007 0.013 0.00744197205351171
"4" 0 0.001 0 0.000286284338415821
"5" 0.008 0.01 0.004 0.00569448257319327
"6" 0 0 0 2.27073471137373e-10
"7" 0 0 0 1.38450156783598e-07
"8" 0 0 0 2.98146098920427e-08
"9" 0 0 0 0.000159688478180819
"10" 0.003 0 0 0.000257198310588347
"11" 0.003 0.002 0.001 0.000968967583320546
"12" 0.002 0 0.001 0.00112409700929395
"13" 0 0.003 0.001 0.000169455295776055
"14" 0 0 0 8.13834838213623e-05
"15" 0 0 0 0.000455948627328673
"16" 0 0.001 0 4.920184794166e-05
"17" 0 0 0 7.24853091027544e-06
"18" 0 0 0 1.00929881208245e-06
"19" 0 0 0 1.45580813182278e-07
"20" 0 0 0 2.05691814230136e-05
"21" 0 0 0 2.49539621743899e-07
"22" 0 0 0 3.39029829911075e-05
"23" 0.003 0.006 0.003 0.00168768049917467
"24" 0 0 0.001 3.40865700390047e-05
"25" 0.002 0.004 0.004 0.00161689877038285
"26" 0 0 0 9.57737822271376e-07
"27" 0 0.002 0.001 0.000616585264864078
"28" 0 0.001 0 7.7844226517465e-05
"29" 0.003 0.006 0.002 0.00189200246794796
"30" 0 0 0 1.43018754505952e-06
"31" 0.002 0.005 0 0.00122742172739787
"32" 0 0.001 0.001 0.000290624626571145
"33" 0.005 0.004 0.001 0.00193060816833723
"34" 0 0 0 8.24638863314853e-05
"35" 0.002 0.001 0 0.00011706421616442
"36" 0 0 0 1.02738262341973e-09
"37" 0.007 0.015 0.003 0.00709106810189075
"38" 0 0 0 6.2365377271334e-06
"39" 0.001 0.002 0 0.000631325193106824
"40" 0.001 0.002 0.003 0.000389670121380803
"41" 0.002 0.002 0 0.000534394710639985
"42" 0.002 0.004 0 0.000472788636763588
"43" 0 0 0 5.29406738336569e-07
"44" 0.001 0 0 0.000169581367960192
"45" 0 0 0 6.27739790559634e-05
"46" 0 0.001 0.001 5.94654755800006e-05
"47" 0 0 0 7.21283344500279e-05
"48" 0 0 0 1.93432247151959e-05
"49" 0.001 0 0.001 0.000223072839385385
"50" 0.014 0.007 0.01 0.00795684968819421
"51" 0 0.001 0.001 0.000203755964151786
"52" 0.002 0.004 0.002 0.000736491577746246
"53" 0 0 0.001 7.05771891732487e-05
"54" 0 0 0 1.86591472517428e-06
"55" 0 0 0 1.47170058695245e-07
"56" 0 0 0 1.9510635169806e-05
"57" 0.003 0.002 0 0.000675433681143645
"58" 0 0 0 1.02376680888305e-06
"59" 0.003 0 0.002 0.000854094883456002
"60" 0 0 0 0.000606899874590172
"61" 0 0 0 2.21328886512717e-05
"62" 0.001 0 0 2.45576139472625e-05
"63" 0 0 0 9.95488115829168e-06
"64" 0.002 0.001 0 0.000361636649118924
"65" 0.015 0.019 0.009 0.010831094537576
"66" 0 0 0 1.03612667667896e-07
"67" 0.003 0.001 0.002 0.00132533928214296
"68" 0 0 0 5.181131142451e-06
"69" 0 0 0 3.05471719097561e-06
"70" 0.001 0 0 2.49118028422535e-05
"71" 0 0 0 2.7535460545014e-07
"72" 0 0 0 9.432598023007e-05
"73" 0.001 0.002 0.001 0.000782863593906447
"74" 0 0.003 0.001 0.000454802388442754
"75" 0.003 0.006 0 0.00100716576734605
"76" 0.006 0.006 0.002 0.00635765977428548
"77" 0 0 0 0.000189599117272898
"78" 0.001 0.001 0 0.00131229763259899
"79" 0 0 0 2.18089646852881e-06
"80" 0.001 0 0.002 0.000244892955292064
"81" 0 0 0 6.72795152922845e-13
"82" 0 0 0 1.38137896751322e-05
"83" 0.002 0.002 0 0.000648868201681752
"84" 0.011 0.006 0.002 0.00380501760936647
"85" 0.001 0.001 0 7.72905618696695e-05
"86" 0 0 0 6.58411103415801e-11
"87" 0 0 0 1.37695883635214e-05
"88" 0 0.001 0 0.000131299118139028
"89" 0.006 0.009 0.001 0.00493213919069502
"90" 0 0 0 6.33942372363361e-06
"91" 0 0 0 0.000139471389612122
"92" 0 0 0 1.99145078205731e-09
"93" 0 0 0 1.56396753880905e-07
"94" 0.014 0.021 0.012 0.0150004488489859
"95" 0 0.001 0.001 5.62075344806567e-05
"96" 0 0 0 9.72055769210556e-12
"97" 0 0 0 5.54010930152726e-05
"98" 0 0.002 0 0.000148101481157625
"99" 0.001 0 0 8.8884337352102e-05
"100" 0.001 0 0 8.0716556955851e-05
"101" 0 0 0 9.13472613106592e-08
"102" 0 0 0 4.04553267552288e-08
"103" 0.001 0 0 0.000135618450026187
"104" 0.005 0.004 0.001 0.00193439961624542
"105" 0.001 0 0 0.000184897758159996
"106" 0.003 0.001 0.003 0.00341757151537314
"107" 0.001 0 0 0.000167719070601868
"108" 0.003 0.001 0.002 0.000798310107800182
"109" 0.001 0.001 0 0.00082230395618943
"110" 0.001 0 0 0.000302418153101724
"111" 0.001 0.002 0 0.000764212592286539
"112" 0 0 0 2.42272029767898e-05
"113" 0.002 0.003 0.003 0.00110566021542868
"114" 0 0.002 0.001 0.000369445221391818
"115" 0.002 0 0 9.06037370353996e-05
"116" 0.001 0 0 7.71180222249868e-05
"117" 0.005 0.003 0.002 0.00280789115869207
"118" 0 0 0 2.64802887053328e-05
"119" 0 0.002 0 0.000391795268076645
"120" 0 0 0.001 1.34605217882999e-06
"121" 0 0.001 0.001 0.000524282456327074
