"A" "B" "P" "BT"
"1" 0.172 0.135 0.161 0.1749400798581
"2" 0.001 0.001 0.004 0.000686586959940172
"3" 0 0.001 0 0.000179938473623298
"4" 0.261 0.266 0.273 0.312669856800172
"5" 0.021 0.026 0.027 0.0191542629511069
"6" 0.245 0.253 0.236 0.261065578983698
"7" 0.086 0.086 0.086 0.0858632520638978
"8" 0 0 0 1.7137963059799e-06
"9" 0.058 0.053 0.055 0.0557310604128975
"10" 0 0.003 0.004 0.00103914019017903
"11" 0.001 0 0.002 8.1676211098558e-05
"12" 0.028 0.026 0.033 0.0203408123509601
"13" 0 0.001 0 2.10331098935423e-05
"14" 0.32 0.298 0.346 0.357987863630939
"15" 0.443 0.456 0.47 0.480393799826669
"16" 0.033 0.039 0.033 0.0292708246004812
"17" 0.01 0.006 0.004 0.00578644537705597
"18" 0.005 0.008 0.007 0.00554157689402746
"19" 0.055 0.042 0.044 0.0467192038024198
"20" 0.198 0.193 0.196 0.215805566656551
"21" 0.324 0.367 0.341 0.377135824973276
"22" 0.013 0.013 0.013 0.0074542552521264
"23" 0.018 0.015 0.016 0.0104849604361157
"24" 0.216 0.227 0.211 0.237916005817944
"25" 0.118 0.121 0.127 0.139680306482274
"26" 0.484 0.489 0.523 0.520899167223851
"27" 0.081 0.094 0.068 0.0821295958304322
"28" 0 0 0 4.72682874308461e-06
"29" 0.077 0.079 0.089 0.086260032333666
"30" 0.035 0.037 0.03 0.0332209861314452
"31" 0 0 0 7.02897749638165e-06
"32" 0.415 0.394 0.429 0.453447661945855
"33" 0.005 0.001 0.008 0.00267210323937106
"34" 0.344 0.332 0.312 0.361516245041193
"35" 0.496 0.516 0.486 0.517344788783803
"36" 0.037 0.038 0.046 0.0369333627637456
"37" 0.002 0.001 0.003 0.000503446779466343
"38" 0.007 0.004 0.008 0.00371669502742489
"39" 0.023 0.024 0.031 0.019978698524274
"40" 0.033 0.019 0.034 0.0267327093544287
"41" 0.046 0.04 0.047 0.0445697037656024
"42" 0.016 0.011 0.01 0.00853737176307656
"43" 0.035 0.048 0.051 0.0405553031911938
"44" 0.031 0.028 0.04 0.0315517152659539
"45" 0.004 0.001 0.007 0.00307244681934349
"46" 0.002 0.003 0.003 0.000923932571279096
"47" 0.08 0.069 0.084 0.075197645137128
"48" 0.058 0.043 0.052 0.0463225198455853
"49" 0.053 0.074 0.081 0.0652543312704433
"50" 0.104 0.111 0.115 0.10648284777772
"51" 0.515 0.575 0.532 0.538703864273482
"52" 0.016 0.023 0.027 0.0171184243548709
"53" 0.001 0.001 0.003 0.000394250103144977
"54" 0.167 0.154 0.139 0.151872495051256
"55" 0.334 0.344 0.35 0.369925204097415
"56" 0.261 0.268 0.275 0.318862425703909
"57" 0.059 0.073 0.087 0.0895310397433563
"58" 0.026 0.032 0.026 0.0211088948623284
"59" 0.001 0 0.001 0.00022354864997165
"60" 0.578 0.576 0.626 0.592135774218169
"61" 0.542 0.504 0.511 0.53094929809747
"62" 0.72 0.7 0.725 0.670040766098533
"63" 0.035 0.027 0.03 0.0267030799275366
"64" 0.007 0.01 0.009 0.00771418569868498
"65" 0.007 0.008 0.016 0.00623197369710371
"66" 0.031 0.029 0.042 0.0340616869988241
"67" 0.038 0.032 0.044 0.0302293995763275
"68" 0.006 0.015 0.014 0.0125225287118218
"69" 0.013 0.015 0.017 0.0122763778090513
"70" 0.007 0.004 0.009 0.00337425121346213
"71" 0.046 0.037 0.055 0.0384387040290364
"72" 0.009 0.009 0.013 0.00638857259676617
"73" 0.1 0.089 0.113 0.0939430135002578
"74" 0.003 0.001 0.001 0.00100109599725517
"75" 0.035 0.042 0.044 0.0446071614021681
"76" 0.37 0.372 0.405 0.41050107914178
"77" 0.133 0.135 0.14 0.155478076275624
"78" 0.181 0.168 0.193 0.209609603483541
"79" 0 0.001 0 8.7443506744278e-05
"80" 0.083 0.067 0.092 0.0783043023148751
"81" 0.001 0.002 0.002 0.000986183593891576
"82" 0.149 0.159 0.18 0.172300262680529
"83" 0.063 0.08 0.085 0.0684808158831102
"84" 0.01 0.021 0.02 0.00787446270689174
"85" 0 0 0 3.41275807613783e-08
"86" 0.416 0.41 0.415 0.442378720904682
"87" 0.372 0.366 0.374 0.396658817299108
"88" 0.076 0.089 0.089 0.0931756695894306
"89" 0.744 0.766 0.791 0.736621827767663
"90" 0.099 0.095 0.097 0.094293467001203
"91" 0.116 0.088 0.097 0.107313876900614
"92" 0 0 0.001 3.71283323685745e-05
"93" 0.202 0.187 0.198 0.218612634078937
"94" 0 0.006 0 0.000384984836192204
"95" 0.034 0.036 0.03 0.0228302566439955
"96" 0.749 0.725 0.727 0.696143346242235
"97" 0.708 0.736 0.756 0.68927694234116
"98" 0.093 0.089 0.101 0.0887384654041763
"99" 0.032 0.023 0.033 0.0258760788599542
"100" 0.203 0.209 0.211 0.251933849259164
"101" 0.023 0.028 0.027 0.0258351516906222
"102" 0.134 0.115 0.114 0.130242634507609
"103" 0.001 0 0 0.000102978611511872
"104" 0.027 0.028 0.035 0.0202356770883095
"105" 0.161 0.167 0.165 0.187770417715538
"106" 0.078 0.078 0.066 0.0723387353003364
"107" 0.065 0.067 0.073 0.0735629848163533
"108" 0.001 0.002 0.001 0.000390173821608331
"109" 0.036 0.033 0.039 0.0276233188285198
"110" 0.003 0.008 0.009 0.00434490713183111
"111" 0.126 0.108 0.132 0.143994543310991
"112" 0.002 0.009 0.007 0.00186199591176828
"113" 0.107 0.111 0.102 0.122221926678317
"114" 0.193 0.189 0.19 0.209456822845653
"115" 0.012 0.011 0.02 0.00974034817473179
"116" 0.081 0.072 0.069 0.0775541849670696
"117" 0.06 0.057 0.077 0.0674776790394718
"118" 0.111 0.131 0.12 0.132020305444168
"119" 0.003 0.002 0.007 0.00134180792158267
"120" 0.042 0.05 0.04 0.0422916346494762
"121" 0.002 0.004 0.007 0.00264965066255118
"122" 0.003 0.004 0.007 0.00157299706721115
"123" 0.277 0.253 0.274 0.291158211562
"124" 0.429 0.419 0.434 0.435028932571835
"125" 0.007 0.008 0.009 0.00538439717255546
"126" 0.055 0.088 0.087 0.0751410977671603
"127" 0.402 0.424 0.437 0.434121498421364
"128" 0.161 0.145 0.151 0.15681585867156
"129" 0.006 0.011 0.012 0.00490540578608645
"130" 0.111 0.135 0.128 0.133380986206624
"131" 0.702 0.7 0.712 0.679576908261545
"132" 0 0.001 0 0.000237852603141575
"133" 0.061 0.089 0.073 0.0709935872272407
"134" 0.03 0.042 0.049 0.0426118505499129
"135" 0.012 0.01 0.015 0.00712515099648503
"136" 0.144 0.148 0.142 0.153093416076719
"137" 0.018 0.015 0.026 0.0137651000727199
"138" 0.007 0.004 0.013 0.00389538899069319
"139" 0.049 0.037 0.049 0.0477656976823049
"140" 0.006 0.008 0.003 0.002153192613085
"141" 0.21 0.202 0.227 0.239014819431908
"142" 0.629 0.668 0.656 0.637169975926229
"143" 0 0 0.003 0.000113375862803911
"144" 0 0 0 7.3438543313209e-06
"145" 0.024 0.032 0.031 0.0217715531574261
"146" 0.148 0.138 0.147 0.165486294401046
"147" 0.03 0.031 0.043 0.0291100813013466
"148" 0 0 0 5.20872282169238e-05
"149" 0.165 0.19 0.154 0.19363866651899
"150" 0.384 0.413 0.386 0.417497606057058
"151" 0.039 0.049 0.049 0.0380225173693294
"152" 0.006 0.01 0.007 0.00420521430394638
"153" 0.703 0.716 0.718 0.682402960934376
"154" 0.031 0.043 0.048 0.0414553558305053
"155" 0 0 0.001 6.32566483872443e-05
"156" 0.027 0.025 0.027 0.0196049757410361
"157" 0.112 0.1 0.124 0.11513854083192
"158" 0.002 0 0.001 0.000667105216610286
"159" 0.008 0.004 0.01 0.00525593813833503
"160" 0.2 0.186 0.175 0.212493106291489
"161" 0.35 0.361 0.381 0.385838433916555
"162" 0.082 0.085 0.086 0.0826972888351375
"163" 0.172 0.199 0.197 0.210791930359733
"164" 0 0 0 2.36143163148128e-05
"165" 0.214 0.203 0.238 0.241954336281915
"166" 0.016 0.015 0.011 0.00932339132554472
