"A" "B" "P" "BT"
"1" 0.015 0.01 0.014 0.00777761326364967
"2" 0.043 0.032 0.038 0.0391368306531245
"3" 0.128 0.135 0.127 0.159598919247235
"4" 0.001 0.002 0.005 0.00140183935990323
"5" 0.008 0.005 0.008 0.00372746723391615
"6" 0 0 0 6.11132566774586e-09
"7" 0.008 0.002 0.004 0.0022779739228983
"8" 0.012 0.011 0.008 0.00832970781362685
"9" 0.068 0.076 0.081 0.0833760998749885
"10" 0.004 0.003 0.007 0.00155976124995227
"11" 0.011 0.002 0.011 0.00704915548543039
"12" 0.032 0.043 0.048 0.0295701106972698
"13" 0.018 0.012 0.021 0.0107435214684699
"14" 0.003 0.003 0.011 0.00302512728537896
"15" 0 0 0 8.60422844084496e-14
"16" 0.002 0.008 0.009 0.00428236334818777
"17" 0.003 0.005 0.008 0.00154223415410659
"18" 0.049 0.048 0.061 0.0462793052019883
"19" 0 0 0 4.81116362947009e-05
"20" 0.001 0 0.004 0.000556797123715813
"21" 0.039 0.035 0.034 0.0298799411573497
"22" 0.368 0.378 0.378 0.417188253553898
"23" 0.003 0.005 0.006 0.0020742973279575
"24" 0.012 0.012 0.018 0.0131875163777596
"25" 0.002 0.003 0.004 0.000480356246457703
"26" 0.023 0.021 0.015 0.0133482057128949
"27" 0 0 0.001 6.66136915529192e-05
"28" 0.007 0.007 0.014 0.00648106009947846
"29" 0.059 0.06 0.051 0.054080758502385
"30" 0.015 0.012 0.015 0.0121240687364604
"31" 0.025 0.027 0.026 0.0211741565408
"32" 0.192 0.19 0.196 0.19061779773704
"33" 0.001 0 0.003 0.000148135830593032
"34" 0.002 0.001 0.001 0.000289903938339831
"35" 0.041 0.059 0.052 0.0530347238757531
"36" 0.061 0.067 0.057 0.0631550730211246
"37" 0.103 0.134 0.143 0.132269944818761
"38" 0 0 0 1.44073939556399e-06
"39" 0.082 0.101 0.086 0.0929519454346892
"40" 0.017 0.014 0.013 0.00842762177951029
"41" 0.009 0.009 0.014 0.00619122335650968
"42" 0 0 0 4.90768004379749e-06
"43" 0.007 0.004 0.009 0.00486680378876714
"44" 0.004 0.008 0.007 0.0043173365207666
"45" 0.001 0.001 0.001 0.000175794344854152
"46" 0 0 0 1.41071918591251e-08
"47" 0.028 0.036 0.03 0.0251541286513337
"48" 0.345 0.348 0.384 0.395223746366645
"49" 0.006 0.006 0.005 0.00118352258628485
"50" 0.001 0.003 0.007 0.00091681072473393
"51" 0.005 0.003 0.003 0.00255365718463796
"52" 0.001 0 0.002 0.00039746033216248
"53" 0.004 0.006 0.017 0.00455645513913827
"54" 0.016 0.024 0.032 0.0177478428959815
"55" 0.004 0.003 0.006 0.00211024963493012
"56" 0.002 0.003 0.004 0.00285951604316592
"57" 0.726 0.705 0.724 0.662617533192056
"58" 0 0 0 1.23727282957953e-05
"59" 0.006 0.002 0.006 0.00324079977858793
"60" 0 0.001 0 0.000298198736439548
"61" 0.004 0.003 0.003 0.000845141620672507
"62" 0 0 0 5.77320042993712e-07
"63" 0.006 0.014 0.022 0.00663990429657924
"64" 0.006 0.005 0.009 0.0051050139614387
"65" 0.005 0.003 0.009 0.00166366433573373
"66" 0.104 0.094 0.102 0.109701331220595
"67" 0.005 0.002 0.004 0.00142061879459343
"68" 0.017 0.011 0.022 0.0134752992149123
"69" 0.006 0.005 0.014 0.00536970621632371
"70" 0.118 0.117 0.112 0.126080567801215
"71" 0.001 0.002 0.002 0.00037195549332214
"72" 0.001 0.002 0.004 0.000496531229852382
"73" 0.012 0.007 0.016 0.00729227245366737
"74" 0 0 0.002 0.000132264406476068
"75" 0 0 0 1.96994776047177e-08
"76" 0.01 0.011 0.013 0.00579888969671172
"77" 0 0.001 0.002 0.000237204552093639
"78" 0 0 0 1.88134734147027e-06
"79" 0.018 0.016 0.016 0.00933200179760152
"80" 0.096 0.074 0.082 0.096379464967291
"81" 0.002 0.005 0.002 0.000916004497390377
"82" 0.004 0.007 0.012 0.00288888563266509
"83" 0.146 0.139 0.151 0.169074032124768
"84" 0.097 0.109 0.11 0.107077607579843
"85" 0.117 0.104 0.093 0.113949844114571
"86" 0.036 0.036 0.04 0.0299211752790602
"87" 0.013 0.018 0.018 0.0136292122257989
"88" 0.008 0.007 0.011 0.00535785259030919
"89" 0.034 0.03 0.038 0.032634400900691
"90" 0.023 0.022 0.02 0.0179704491863018
"91" 0.001 0 0.001 0.000324160558308972
"92" 0.001 0.002 0.001 0.000608222074393261
"93" 0.025 0.033 0.056 0.0342952689950546
"94" 0 0.003 0.006 0.00219219417223149
"95" 0.006 0.013 0.009 0.00387943599796237
"96" 0.015 0.012 0.005 0.00686467223034437
"97" 0 0 0 7.87237801502805e-07
"98" 0.008 0.009 0.011 0.00563032260315977
"99" 0.001 0.001 0 0.000436460939781891
"100" 0.508 0.511 0.514 0.529009919319483
"101" 0.005 0.005 0.011 0.0054807465964104
"102" 0.04 0.048 0.054 0.0412168063487907
"103" 0 0.001 0 2.603777909016e-05
"104" 0.022 0.013 0.018 0.0104822847037687
"105" 0.019 0.016 0.023 0.0129578022924751
"106" 0.002 0 0.003 0.000586528385482454
"107" 0.017 0.015 0.022 0.0197660003338755
"108" 0.023 0.025 0.032 0.0205376639698925
"109" 0 0.001 0.001 0.000137198960581841
