Condition  Subject  Replication  Time    Moment 
    1    1    1    0.0020   13.1627
    1    1    1    0.0059   12.5261
    1    1    1    0.0098   18.6467
    1    1    1    0.0137   13.6955
    1    1    1    0.0176   14.7310
    1    1    1    0.0215   24.0326
    1    1    1    0.0254   20.4115
    1    1    1    0.0293   20.9390
    1    1    1    0.0332   27.6485
    1    1    1    0.0371   23.0068
    1    1    1    0.0410   20.1915
    1    1    1    0.0449   24.5262
    1    1    1    0.0488   24.7105
    1    1    1    0.0527   18.1013
    1    1    1    0.0566   27.9784
    1    1    1    0.0605   19.8842
    1    1    1    0.0645   21.3511
    1    1    1    0.0684   24.0588
    1    1    1    0.0723   23.6131
    1    1    1    0.0762   21.5904
    1    1    1    0.0801   20.8193
    1    1    1    0.0840   21.5187
    1    1    1    0.0879   19.8222
    1    1    1    0.0918   23.3720
    1    1    1    0.0957   19.0256
    1    1    1    0.0996   24.7944
    1    1    1    0.1035   18.9448
    1    1    1    0.1074   19.8518
    1    1    1    0.1113   16.7922
    1    1    1    0.1152   14.4946
    1    1    1    0.1191   22.4003
    1    1    1    0.1230   18.3288
    1    1    1    0.1270   21.2169
    1    1    1    0.1309   21.3931
    1    1    1    0.1348   10.3231
    1    1    1    0.1387   23.1064
    1    1    1    0.1426   15.3676
    1    1    1    0.1465   17.0798
    1    1    1    0.1504   11.8742
    1    1    1    0.1543   14.9845
    1    1    1    0.1582   18.1492
    1    1    1    0.1621   20.4124
    1    1    1    0.1660   21.5213
    1    1    1    0.1699   23.6920
    1    1    1    0.1738   16.3354
    1    1    1    0.1777   14.4749
    1    1    1    0.1816   21.7168
    1    1    1    0.1855   23.2576
    1    1    1    0.1895   19.2310
    1    1    1    0.1934   21.3865
    1    1    1    0.1973   20.7256
    1    1    1    0.2012   21.0213
    1    1    1    0.2051   22.4518
    1    1    1    0.2090   15.4428
    1    1    1    0.2129   22.4690
    1    1    1    0.2168   23.3210
    1    1    1    0.2207   15.5859
    1    1    1    0.2246   17.0223
    1    1    1    0.2285   13.3503
    1    1    1    0.2324   17.9686
    1    1    1    0.2363   17.2621
    1    1    1    0.2402   18.0164
    1    1    1    0.2441   19.5098
    1    1    1    0.2480   16.8752
    1    1    1    0.2520   13.6180
    1    1    1    0.2559   15.2859
    1    1    1    0.2598   12.8383
    1    1    1    0.2637   13.5934
    1    1    1    0.2676   12.7164
    1    1    1    0.2715   15.0334
    1    1    1    0.2754   14.4798
    1    1    1    0.2793   16.1359
    1    1    1    0.2832   11.9671
    1    1    1    0.2871    9.1701
